I,9.8969706/-84.0616709<10.0101333/-84.01145439999999,360,0
I,9.959179299999999/-84.1197643<9.9482076/-84.04978129999999,375,0
I,9.959179299999999/-84.1197643<9.920695/-84.14615189999999,375,0
I,9.926898399999999/-84.183075<9.926898399999999/-84.183075<9.899073999999999/-84.08247209999999,350,0
I,9.920695/-84.14615189999999<9.8992594/-84.10088429999999<9.9199576/-84.10392619999999,365,0
I,9.9482076/-84.04978129999999<10.0101333/-84.01145439999999<9.899073999999999/-84.08247209999999,355,0
16,9.9280694/-84.0907246<9.941223200000001/-84.0874238,205,0
16,9.9280694/-84.0907246<9.9215447/-84.07553920000001<9.9176291/-84.0747763,290,0
16,9.9280694/-84.0907246<9.9215447/-84.07553920000001<9.9216144/-84.079501<9.9359945/-84.0669545,290,0
02-02 A,9.9280694/-84.0907246<9.9352316/-84.1026062<9.9298251/-84.09171479999999,270,0
02-02 A,9.9280694/-84.0907246<9.9378275/-84.09204489999999,270,0
03,9.9280694/-84.0907246<9.9217306/-84.0861034<9.9245813/-84.0900645,265,0
16,9.9280694/-84.0907246<9.937315199999999/-84.0629919<9.936995099999999/-84.0510292,410,0
06,9.9280694/-84.0907246<9.9256464/-84.0715772,290,0
59,9.9280694/-84.0907246<9.9103585/-84.03260329999999<9.9081912/-84.0279776<9.910907400000001/-84.0298641,385,0
61,9.9280694/-84.0907246<9.9012344/-84.0261245,385,0
07,9.9280694/-84.0907246<9.9298251/-84.09171479999999<9.9352316/-84.1026062,165,0
13,9.9280694/-84.0907246<9.9352316/-84.1026062<9.9368345/-84.1077296,165,0
09,9.9280694/-84.0907246<9.9587215/-84.1134956<10.0867332/-84.1685722,435,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.948787699999999/-84.1619788<9.9669029/-84.189873,435,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.948787699999999/-84.1619788<9.9325598/-84.1262386,435,0
09,9.9280694/-84.0907246<9.8899694/-84.1382368,555,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.943865299999999/-84.079501,435,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.9359945/-84.0669545,555,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.8976659/-84.13271720000002,555,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999,435,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.9189595/-84.1263623,435,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.934248/-84.078307,555,0
09,9.9280694/-84.0907246<9.920695/-84.14615189999999<9.912249599999999/-84.1465616,435,0
09,9.9280694/-84.0907246<9.926898399999999/-84.183075<9.927444099999999/-84.2147052<9.933133/-84.055377,475,0
09,9.9280694/-84.0907246<9.926898399999999/-84.183075<9.927444099999999/-84.2147052<9.9388437/-84.2305141,335,0
09,9.926898399999999/-84.183075<9.9485111/-84.1908251,335,0
09,9.926898399999999/-84.183075<9.9576385/-84.1909841,335,0
20,9.9280694/-84.0907246<9.9603937/-84.07025639999999,265,0
20,9.9280694/-84.0907246<9.9590246/-84.0913987,265,0
20,9.9280694/-84.0907246<9.9590246/-84.0913987,265,0
20,9.9280694/-84.0907246<9.9644736/-84.0649732,265,0
20,9.9280694/-84.0907246<9.9493589/-84.07553920000001,265,0
20,10.0045234/-84.2061404<10.0045234/-84.2061404<9.936862/-84.07621999999999,260,0
100,9.366023499999999/-83.6961197<9.714281/-83.96946,1185,0
100,9.9280694/-84.0907246<9.366023499999999/-83.6961197,3525,2645
102,9.832137/-84.3331694<9.832137/-84.3331694,250,0
102,9.832137/-84.3331694<9.8587805/-84.26475219999999,250,0
102,9.832137/-84.3331694<9.8342391/-84.21075239999999,250,0
102,9.832137/-84.3331694<9.879064999999999/-84.081486,250,0
272,10.091028399999999/-84.4703933<10.076972/-84.54396799999999,2185,1640
272,10.091028399999999/-84.4703933<10.4278707/-84.5877813,2105,1580
272,10.091028399999999/-84.4703933<10.405954/-84.601494,1965,1475
70,9.9280694/-84.0907246<9.8969706/-84.0616709<9.9023649/-84.07554669999999,265,0
70,9.9280694/-84.0907246<9.8969706/-84.0616709<9.3813266/-83.7331954,265,0
70,9.9280694/-84.0907246<9.8969706/-84.0616709<9.8889142/-84.0580382,265,0
70,9.9280694/-84.0907246<9.8969706/-84.0616709<9.8943227/-84.04945099999999,265,0
505,9.9280694/-84.0907246<11.0708272/-85.6306396,4670,3505
